driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
AJ Allmendinger,3774,Chv,16,3,1,123.403,15.549,Kaulig Racing,False,False,1,36,green
AJ Allmendinger,3774,Chv,16,4,1,122.874,15.616,Kaulig Racing,False,False,1,36,green
Ty Gibbs,4368,Tyt,54,4,2,122.584,15.653,Joe Gibbs Racing,False,False,4,10,green
AJ Allmendinger,3774,Chv,16,5,1,122.505,15.663,Kaulig Racing,False,False,1,36,green
Carson Hocevar,4326,Chv,77,477,8,122.341,15.684,Spire Motorsports,False,False,12,7,green
Bubba Wallace,4025,Tyt,23,5,5,122.326,15.686,23XI Racing,True,False,8,34,green
Bubba Wallace,4025,Tyt,23,6,5,122.279,15.692,23XI Racing,True,False,8,34,green
Ryan Blaney,4023,Frd,12,5,3,122.046,15.722,Team Penske,True,False,2,4,green
Ryan Blaney,4023,Frd,12,4,3,121.829,15.750,Team Penske,True,False,2,4,green
Ty Gibbs,4368,Tyt,54,3,2,121.782,15.756,Joe Gibbs Racing,False,False,4,10,green
Austin Cindric,4180,Frd,2,5,4,121.759,15.759,Team Penske,True,False,3,30,green
AJ Allmendinger,3774,Chv,16,2,1,121.713,15.765,Kaulig Racing,False,False,1,36,green
Ty Gibbs,4368,Tyt,54,5,2,121.689,15.768,Joe Gibbs Racing,False,False,4,10,green
Austin Cindric,4180,Frd,2,4,4,121.659,15.772,Team Penske,True,False,3,30,green
Ryan Blaney,4023,Frd,12,2,3,121.659,15.772,Team Penske,True,False,2,4,green
Bubba Wallace,4025,Tyt,23,7,5,121.574,15.783,23XI Racing,True,False,8,34,green
Ty Gibbs,4368,Tyt,54,2,2,121.412,15.804,Joe Gibbs Racing,False,False,4,10,green
Austin Cindric,4180,Frd,2,6,4,121.397,15.806,Team Penske,True,False,3,30,green
Ryan Blaney,4023,Frd,12,6,3,121.267,15.823,Team Penske,True,False,2,4,green
Austin Cindric,4180,Frd,2,3,4,121.198,15.832,Team Penske,True,False,3,30,green
Ryan Blaney,4023,Frd,12,3,3,121.113,15.843,Team Penske,True,False,2,4,green
Ty Gibbs,4368,Tyt,54,7,2,121.022,15.855,Joe Gibbs Racing,False,False,4,10,green
Austin Cindric,4180,Frd,2,2,4,120.915,15.869,Team Penske,True,False,3,30,green
Ty Gibbs,4368,Tyt,54,6,2,120.831,15.880,Joe Gibbs Racing,False,False,4,10,green
AJ Allmendinger,3774,Chv,16,6,1,120.808,15.883,Kaulig Racing,False,False,1,36,green
Ryan Blaney,4023,Frd,12,8,3,120.770,15.888,Team Penske,True,False,2,4,green
Bubba Wallace,4025,Tyt,23,4,5,120.687,15.899,23XI Racing,True,False,8,34,green
AJ Allmendinger,3774,Chv,16,7,1,120.664,15.902,Kaulig Racing,False,False,1,36,green
Austin Cindric,4180,Frd,2,7,4,120.634,15.906,Team Penske,True,False,3,30,green
Austin Cindric,4180,Frd,2,8,4,120.603,15.910,Team Penske,True,False,3,30,green
Ryan Blaney,4023,Frd,12,7,3,120.407,15.936,Team Penske,True,False,2,4,green
Denny Hamlin,1361,Tyt,11,2,5,120.399,15.937,Joe Gibbs Racing,True,False,6,31,green
Bubba Wallace,4025,Tyt,23,2,6,120.392,15.938,23XI Racing,True,False,8,34,green
Ryan Blaney,4023,Frd,12,10,3,120.308,15.949,Team Penske,True,False,2,4,green
Ryan Blaney,4023,Frd,12,9,3,120.293,15.951,Team Penske,True,False,2,4,green
Ty Gibbs,4368,Tyt,54,10,2,120.278,15.953,Joe Gibbs Racing,False,False,4,10,green
Ty Gibbs,4368,Tyt,54,9,2,120.218,15.961,Joe Gibbs Racing,False,False,4,10,green
Kyle Larson,4030,Chv,5,2,7,120.188,15.965,Hendrick Motorsports,True,False,5,32,green
Bubba Wallace,4025,Tyt,23,9,5,120.165,15.968,23XI Racing,True,False,8,34,green
Josh Berry,4123,Frd,21,8,8,120.165,15.968,Wood Brothers Racing,True,False,10,39,green
Kyle Larson,4030,Chv,5,8,6,120.143,15.971,Hendrick Motorsports,True,False,5,32,green
AJ Allmendinger,3774,Chv,16,9,1,120.135,15.972,Kaulig Racing,False,False,1,36,green
Bubba Wallace,4025,Tyt,23,8,5,120.113,15.975,23XI Racing,True,False,8,34,green
Ty Gibbs,4368,Tyt,54,8,2,120.098,15.977,Joe Gibbs Racing,False,False,4,10,green
Austin Cindric,4180,Frd,2,10,4,120.053,15.983,Team Penske,True,False,3,30,green
Carson Hocevar,4326,Chv,77,8,9,120.030,15.986,Spire Motorsports,False,False,12,7,green
AJ Allmendinger,3774,Chv,16,8,1,120.030,15.986,Kaulig Racing,False,False,1,36,green
William Byron,4184,Chv,24,8,7,119.985,15.992,Hendrick Motorsports,True,False,7,12,green
Bubba Wallace,4025,Tyt,23,10,5,119.918,16.001,23XI Racing,True,False,8,34,green
Austin Cindric,4180,Frd,2,9,4,119.895,16.004,Team Penske,True,False,3,30,green
Bubba Wallace,4025,Tyt,23,13,5,119.873,16.007,23XI Racing,True,False,8,34,green
William Byron,4184,Chv,24,3,8,119.850,16.010,Hendrick Motorsports,True,False,7,12,green
William Byron,4184,Chv,24,2,8,119.835,16.012,Hendrick Motorsports,True,False,7,12,green
Kyle Larson,4030,Chv,5,18,6,119.835,16.012,Hendrick Motorsports,True,False,5,32,green
Ryan Blaney,4023,Frd,12,12,3,119.820,16.014,Team Penske,True,False,2,4,green
William Byron,4184,Chv,24,19,7,119.798,16.017,Hendrick Motorsports,True,False,7,12,green
Ty Gibbs,4368,Tyt,54,14,2,119.790,16.018,Joe Gibbs Racing,False,False,4,10,green
William Byron,4184,Chv,24,18,7,119.730,16.026,Hendrick Motorsports,True,False,7,12,green
Kyle Larson,4030,Chv,5,6,6,119.715,16.028,Hendrick Motorsports,True,False,5,32,green
Kyle Larson,4030,Chv,5,7,6,119.678,16.033,Hendrick Motorsports,True,False,5,32,green
