driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Bubba Wallace,4025,Tyt,23,81,1,117.591,22.961,23XI Racing,False,False,7,28,green
Austin Dillon,3873,Chv,3,242,1,117.488,22.981,Richard Childress Racing,False,False,11,1,green
Bubba Wallace,4025,Tyt,23,190,1,117.035,23.070,23XI Racing,False,False,7,28,green
Bubba Wallace,4025,Tyt,23,82,1,117.015,23.074,23XI Racing,False,False,7,28,green
Christopher Bell,4153,Tyt,20,81,2,116.949,23.087,Joe Gibbs Racing,False,False,8,21,green
Tyler Reddick,4065,Tyt,45,2,2,116.929,23.091,23XI Racing,False,False,2,34,green
Brad Keselowski,1816,Frd,6,178,17,116.807,23.115,RFK Racing,False,False,6,9,green
Bubba Wallace,4025,Tyt,23,2,5,116.782,23.120,23XI Racing,False,False,7,28,green
Ryan Preece,4070,Frd,60,2,1,116.772,23.122,RFK Racing,False,False,1,35,green
Austin Dillon,3873,Chv,3,243,1,116.595,23.157,Richard Childress Racing,False,False,11,1,green
AJ Allmendinger,3774,Chv,16,2,3,116.580,23.160,Kaulig Racing,False,False,3,22,green
Denny Hamlin,1361,Tyt,11,2,4,116.550,23.166,Joe Gibbs Racing,False,False,4,10,green
Ryan Preece,4070,Frd,60,1,1,116.465,23.183,RFK Racing,False,False,1,35,start
Kyle Larson,4030,Chv,5,352,19,116.435,23.189,Hendrick Motorsports,False,False,30,6,green
Carson Hocevar,4326,Chv,77,128,24,116.404,23.195,Spire Motorsports,False,False,15,15,green
Ricky Stenhouse Jr.,3888,Chv,47,355,28,116.379,23.200,HYAK Motorsports,False,False,36,23,green
Austin Cindric,4180,Frd,2,81,4,116.289,23.218,Team Penske,False,False,13,5,green
Brad Keselowski,1816,Frd,6,129,17,116.274,23.221,RFK Racing,False,False,6,9,green
Christopher Bell,4153,Tyt,20,350,27,116.269,23.222,Joe Gibbs Racing,False,False,8,21,green
Ryan Blaney,4023,Frd,12,81,5,116.254,23.225,Team Penske,False,False,20,3,green
Carson Hocevar,4326,Chv,77,361,24,116.249,23.226,Spire Motorsports,False,False,15,15,green
William Byron,4184,Chv,24,179,12,116.234,23.229,Hendrick Motorsports,False,False,14,12,green
Daniel Suarez,4113,Chv,99,81,6,116.219,23.232,Trackhouse Racing,False,False,21,7,green
Carson Hocevar,4326,Chv,77,127,26,116.194,23.237,Spire Motorsports,False,False,15,15,green
Brad Keselowski,1816,Frd,6,130,14,116.184,23.239,RFK Racing,False,False,6,9,green
Chris Buescher,3989,Frd,17,124,27,116.179,23.240,RFK Racing,False,False,12,30,green
Austin Dillon,3873,Chv,3,178,14,116.164,23.243,Richard Childress Racing,False,False,11,1,green
Brad Keselowski,1816,Frd,6,2,6,116.164,23.243,RFK Racing,False,False,6,9,green
Ricky Stenhouse Jr.,3888,Chv,47,39,35,116.134,23.249,HYAK Motorsports,False,False,36,23,green
Brad Keselowski,1816,Frd,6,81,7,116.129,23.250,RFK Racing,False,False,6,9,green
Bubba Wallace,4025,Tyt,23,80,1,116.129,23.250,23XI Racing,False,False,7,28,restart
Austin Dillon,3873,Chv,3,2,12,116.109,23.254,Richard Childress Racing,False,False,11,1,green
Christopher Bell,4153,Tyt,20,2,8,116.104,23.255,Joe Gibbs Racing,False,False,8,21,green
Bubba Wallace,4025,Tyt,23,215,1,116.079,23.260,23XI Racing,False,False,7,28,green
Brad Keselowski,1816,Frd,6,177,20,116.059,23.264,RFK Racing,False,False,6,9,green
William Byron,4184,Chv,24,291,14,116.049,23.266,Hendrick Motorsports,False,False,14,12,green
Alex Bowman,4045,Chv,48,2,9,116.029,23.270,Hendrick Motorsports,False,False,9,2,green
Denny Hamlin,1361,Tyt,11,126,23,116.024,23.271,Joe Gibbs Racing,False,False,4,10,green
Cody Ware,4125,Frd,51,353,35,116.014,23.273,Rick Ware Racing,False,False,37,32,green
William Byron,4184,Chv,24,242,8,115.999,23.276,Hendrick Motorsports,False,False,14,12,green
Chase Elliott,4062,Chv,9,4,5,115.974,23.281,Hendrick Motorsports,False,False,5,38,green
William Byron,4184,Chv,24,293,8,115.959,23.284,Hendrick Motorsports,False,False,14,12,green
Ricky Stenhouse Jr.,3888,Chv,47,38,36,115.959,23.284,HYAK Motorsports,False,False,36,23,green
AJ Allmendinger,3774,Chv,16,3,3,115.940,23.288,Kaulig Racing,False,False,3,22,green
Joey Logano,3859,Frd,22,347,13,115.910,23.294,Team Penske,False,False,38,4,green
Chase Elliott,4062,Chv,9,3,6,115.905,23.295,Hendrick Motorsports,False,False,5,38,green
William Byron,4184,Chv,24,81,8,115.905,23.295,Hendrick Motorsports,False,False,14,12,green
Chase Briscoe,4228,Tyt,19,131,16,115.895,23.297,Joe Gibbs Racing,False,False,19,13,green
Austin Dillon,3873,Chv,3,179,11,115.890,23.298,Richard Childress Racing,False,False,11,1,green
Chris Buescher,3989,Frd,17,349,26,115.880,23.300,RFK Racing,False,False,12,30,green
Ross Chastain,4001,Chv,1,129,26,115.865,23.303,Trackhouse Racing,False,False,33,19,green
Brad Keselowski,1816,Frd,6,3,5,115.860,23.304,RFK Racing,False,False,6,9,green
Tyler Reddick,4065,Tyt,45,3,2,115.860,23.304,23XI Racing,False,False,2,34,green
Alex Bowman,4045,Chv,48,293,12,115.855,23.305,Hendrick Motorsports,False,False,9,2,green
Riley Herbst,4269,Tyt,35,38,35,115.850,23.306,23XI Racing,False,False,26,31,green
Austin Cindric,4180,Frd,2,2,13,115.850,23.306,Team Penske,False,False,13,5,green
Ryan Preece,4070,Frd,60,3,1,115.835,23.309,RFK Racing,False,False,1,35,green
Alex Bowman,4045,Chv,48,125,25,115.825,23.311,Hendrick Motorsports,False,False,9,2,green
Daniel Suarez,4113,Chv,99,292,13,115.825,23.311,Trackhouse Racing,False,False,21,7,green
Noah Gragson,4224,Frd,4,345,32,115.810,23.314,Front Row Motorsports,False,False,22,27,green
William Byron,4184,Chv,24,178,16,115.810,23.314,Hendrick Motorsports,False,False,14,12,green
Brad Keselowski,1816,Frd,6,179,13,115.800,23.316,RFK Racing,False,False,6,9,green
Chris Buescher,3989,Frd,17,125,23,115.790,23.318,RFK Racing,False,False,12,30,green
Christopher Bell,4153,Tyt,20,82,2,115.790,23.318,Joe Gibbs Racing,False,False,8,21,green
Bubba Wallace,4025,Tyt,23,243,2,115.775,23.321,23XI Racing,False,False,7,28,green
Christopher Bell,4153,Tyt,20,349,27,115.775,23.321,Joe Gibbs Racing,False,False,8,21,green
Josh Berry,4123,Frd,21,2,17,115.766,23.323,Wood Brothers Racing,False,False,17,8,green
Bubba Wallace,4025,Tyt,23,198,1,115.751,23.326,23XI Racing,False,False,7,28,green
Denny Hamlin,1361,Tyt,11,3,4,115.726,23.331,Joe Gibbs Racing,False,False,4,10,green
Brad Keselowski,1816,Frd,6,354,20,115.716,23.333,RFK Racing,False,False,6,9,green
Tyler Reddick,4065,Tyt,45,81,3,115.706,23.335,23XI Racing,False,False,2,34,green
Austin Dillon,3873,Chv,3,244,1,115.706,23.335,Richard Childress Racing,False,False,11,1,green
Austin Cindric,4180,Frd,2,297,16,115.701,23.336,Team Penske,False,False,13,5,green
Kyle Larson,4030,Chv,5,126,20,115.701,23.336,Hendrick Motorsports,False,False,30,6,green
Carson Hocevar,4326,Chv,77,242,6,115.691,23.338,Spire Motorsports,False,False,15,15,green
Ryan Preece,4070,Frd,60,4,1,115.686,23.339,RFK Racing,False,False,1,35,green
Chase Briscoe,4228,Tyt,19,81,10,115.681,23.340,Joe Gibbs Racing,False,False,19,13,green
Zane Smith,4272,Frd,38,350,22,115.666,23.343,Front Row Motorsports,False,False,29,11,green
Kyle Larson,4030,Chv,5,125,24,115.661,23.344,Hendrick Motorsports,False,False,30,6,green
Denny Hamlin,1361,Tyt,11,127,22,115.656,23.345,Joe Gibbs Racing,False,False,4,10,green
Christopher Bell,4153,Tyt,20,83,2,115.656,23.345,Joe Gibbs Racing,False,False,8,21,green
Austin Dillon,3873,Chv,3,177,17,115.652,23.346,Richard Childress Racing,False,False,11,1,green
William Byron,4184,Chv,24,292,10,115.632,23.350,Hendrick Motorsports,False,False,14,12,green
Chase Briscoe,4228,Tyt,19,130,17,115.632,23.350,Joe Gibbs Racing,False,False,19,13,green
Joey Logano,3859,Frd,22,125,21,115.617,23.353,Team Penske,False,False,38,4,green
Chase Elliott,4062,Chv,9,178,27,115.592,23.358,Hendrick Motorsports,False,False,5,38,green
William Byron,4184,Chv,24,3,10,115.592,23.358,Hendrick Motorsports,False,False,14,12,green
Austin Dillon,3873,Chv,3,294,6,115.592,23.358,Richard Childress Racing,False,False,11,1,green
Ty Gibbs,4368,Tyt,54,358,28,115.592,23.358,Joe Gibbs Racing,False,False,23,18,green
Bubba Wallace,4025,Tyt,23,216,1,115.587,23.359,23XI Racing,False,False,7,28,green
Noah Gragson,4224,Frd,4,242,33,115.587,23.359,Front Row Motorsports,False,False,22,27,green
AJ Allmendinger,3774,Chv,16,5,3,115.577,23.361,Kaulig Racing,False,False,3,22,green
John Hunter Nemechek,4092,Tyt,42,343,36,115.577,23.361,Legacy Motor Club,False,False,34,36,green
Ryan Blaney,4023,Frd,12,82,5,115.572,23.362,Team Penske,False,False,20,3,green
Cole Custer,4104,Frd,41,127,34,115.562,23.364,Haas Factory Team,False,False,24,24,green
Chase Elliott,4062,Chv,9,179,25,115.562,23.364,Hendrick Motorsports,False,False,5,38,green
Chase Elliott,4062,Chv,9,2,7,115.562,23.364,Hendrick Motorsports,False,False,5,38,green
Kyle Larson,4030,Chv,5,296,20,115.557,23.365,Hendrick Motorsports,False,False,30,6,green
John Hunter Nemechek,4092,Tyt,42,342,36,115.557,23.365,Legacy Motor Club,False,False,34,36,green
Austin Dillon,3873,Chv,3,345,9,115.553,23.366,Richard Childress Racing,False,False,11,1,green
Alex Bowman,4045,Chv,48,242,3,115.543,23.368,Hendrick Motorsports,False,False,9,2,green
Ryan Blaney,4023,Frd,12,2,18,115.538,23.369,Team Penske,False,False,20,3,green
Brad Keselowski,1816,Frd,6,292,21,115.533,23.370,RFK Racing,False,False,6,9,green
Josh Berry,4123,Frd,21,127,21,115.523,23.372,Wood Brothers Racing,False,False,17,8,green
Joey Logano,3859,Frd,22,178,11,115.518,23.373,Team Penske,False,False,38,4,green
Daniel Suarez,4113,Chv,99,242,7,115.518,23.373,Trackhouse Racing,False,False,21,7,green
Austin Dillon,3873,Chv,3,127,12,115.508,23.375,Richard Childress Racing,False,False,11,1,green
Kyle Larson,4030,Chv,5,356,12,115.508,23.375,Hendrick Motorsports,False,False,30,6,green
Josh Berry,4123,Frd,21,126,22,115.508,23.375,Wood Brothers Racing,False,False,17,8,green
AJ Allmendinger,3774,Chv,16,38,14,115.503,23.376,Kaulig Racing,False,False,3,22,green
