vehicle_number,driver_name,vehicle_manufacturer,leader_lap,lap_count,pit_in_flag_status,pit_out_flag_status,pit_in_race_time,pit_out_race_time,total_duration,box_stop_race_time,box_leave_race_time,pit_stop_duration,in_travel_duration,out_travel_duration,pit_stop_type,left_front_tire_changed,left_rear_tire_changed,right_front_tire_changed,right_rear_tire_changed,previous_lap_time,next_lap_time,pit_in_rank,pit_out_rank,positions_gained_lost,race_id
24,William Byron,Chv,10,10,2,2,666.638,882.668,11614.947,676.235,12258.555,11582.32,9.597,23.03,OTHER,False,False,False,False,0,0,1,1,0,5546
2,Austin Cindric,Frd,10,10,2,2,668.834,885.746,11615.829,696.015,12278.615,11582.6,27.181,6.048,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,2,2,0,5546
10,Ty Dillon,Chv,10,10,2,2,669.462,887.356,11616.811,688.815,12264.695,11575.88,19.353,21.578,OTHER,False,False,False,False,0,0,3,3,0,5546
19,Chase Briscoe,Tyt,10,10,2,2,670.433,889.714,11618.198,703.315,12283.555,11580.24,32.882,5.076,OTHER,False,False,False,False,0,0,4,4,0,5546
22,Joey Logano,Frd,10,10,2,2,672.424,903.406,11629.899,700.895,12294.975,11594.08,28.471,7.348,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,6,5,1,5546
01,* Corey LaJoie,Frd,10,10,2,2,674.972,906.489,11630.434,683.415,12271.555,11588.14,8.443,33.851,OTHER,False,False,False,False,0,0,8,6,2,5546
23,Bubba Wallace,Tyt,10,10,2,2,673.422,910.461,11635.956,690.735,12294.475,11603.74,17.313,14.903,OTHER,False,False,False,False,0,0,7,8,-1,5546
45,Tyler Reddick,Tyt,10,10,2,2,676.225,909.213,11631.905,683.115,12274.815,11591.7,6.89,33.315,OTHER,False,False,False,False,0,0,9,7,2,5546
42,John Hunter Nemechek,Tyt,10,10,2,2,677.033,914.32,11636.204,687.135,12285.415,11598.28,10.102,27.822,TWO_WHEEL_CHANGE_LEFT,True,True,False,False,0,0,10,9,1,5546
43,Erik Jones,Tyt,10,10,2,2,677.853,919.874,11640.938,691.435,12303.695,11612.26,13.582,15.096,OTHER,False,False,False,False,0,0,11,10,1,5546
1,Ross Chastain,Chv,10,10,2,2,671.392,934.129,11661.654,676.875,12314.095,11637.22,5.483,18.951,OTHER,False,False,False,False,0,0,5,12,-7,5546
16,AJ Allmendinger,Chv,10,10,2,2,679.134,929.9,11649.683,692.175,12308.535,11616.36,13.041,20.282,OTHER,False,False,False,False,0,0,12,11,1,5546
8,Kyle Busch,Chv,11,10,2,2,680.436,936.155,11654.636,703.355,12324.875,11621.52,22.919,10.197,OTHER,False,False,False,False,0,0,14,13,1,5546
11,Denny Hamlin,Tyt,11,10,2,2,681.331,938.812,11656.398,693.295,12318.395,11625.1,11.964,19.334,OTHER,False,False,False,False,0,0,15,14,1,5546
17,Chris Buescher,Frd,10,10,2,2,679.645,942.45,11661.722,685.975,12316.155,11630.18,6.33,36.449,TWO_WHEEL_CHANGE_LEFT,True,True,False,False,0,0,13,16,-3,5546
3,Austin Dillon,Chv,11,10,2,2,682.726,942.085,11658.276,702.155,12328.535,11626.38,19.429,27.24,OTHER,False,False,False,False,0,0,16,15,1,5546
20,Christopher Bell,Tyt,11,10,2,2,683.758,949.658,11664.817,693.375,12325.495,11632.12,9.617,28.092,OTHER,False,False,False,False,0,0,17,18,-1,5546
71,Michael McDowell,Chv,11,10,2,2,683.916,944.624,11659.625,715.235,12336.655,11621.42,31.319,13.803,OTHER,False,False,False,False,0,0,18,17,1,5546
34,Todd Gilliland,Frd,11,10,2,2,684.956,952.068,11666.029,702.695,12337.815,11635.12,17.739,13.17,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,19,19,0,5546
41,Cole Custer,Frd,11,10,2,2,686.22,959.046,11671.743,713.655,712.655,-1.0,27.435,-1.0,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,21,20,1,5546
4,Noah Gragson,Frd,11,10,2,2,687.047,979.992,11691.862,697.055,696.055,-1.0,10.008,-1.0,OTHER,False,False,False,False,0,0,22,25,-3,5546
40,* Justin Allgaier(i),Chv,11,10,2,2,687.708,977.218,11688.427,718.615,717.615,-1.0,30.907,-1.0,OTHER,False,False,False,False,0,0,23,24,-1,5546
5,Kyle Larson,Chv,11,10,2,2,689.351,974.841,11684.407,714.655,713.655,-1.0,25.304,-1.0,OTHER,False,False,False,False,0,0,25,23,2,5546
54,Ty Gibbs,Tyt,11,10,2,2,690.906,982.092,11690.103,717.715,716.715,-1.0,26.809,-1.0,OTHER,False,False,False,False,0,0,26,26,0,5546
51,Cody Ware,Frd,11,10,2,2,694.74,998.15,11702.327,711.915,710.915,-1.0,17.175,-1.0,OTHER,False,False,False,False,0,0,31,29,2,5546
38,Zane Smith,Frd,11,10,2,2,697.919,998.771,11699.769,728.995,727.995,-1.0,31.076,-1.0,TWO_WHEEL_CHANGE_LEFT,True,True,False,False,0,0,34,30,4,5546
9,Chase Elliott,Chv,11,10,2,2,685.513,961.953,11675.357,719.655,718.655,-1.0,34.142,-1.0,OTHER,False,False,False,False,0,0,20,21,-1,5546
47,Ricky Stenhouse Jr.,Chv,11,10,2,2,688.894,973.271,11683.294,704.635,703.635,-1.0,15.741,-1.0,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,24,22,2,5546
